budget,runtime,vote_average,vote_count,popularity,hit
80000000,113.0,5.2,369,19.375768,1
80000000,88.0,6.5,1288,36.125715,1
80000000,104.0,5.2,1043,41.890722,1
75000000,135.0,6.5,431,22.179658,1
68000000,135.0,7.4,3946,139.575085,1
70000000,98.0,5.6,332,18.264635,1
80000000,80.0,5.2,220,11.187696,1
80000000,83.0,7.4,831,41.670544,1
80000000,102.0,5.3,498,27.46264,1
80000000,130.0,5.0,388,17.455024,1
80000000,129.0,6.2,393,21.394281,1
80000000,89.0,6.7,1497,61.692197,1
80000000,74.0,7.0,292,14.530946,1
80000000,96.0,5.8,631,25.978555,1
102000000,99.0,6.1,932,36.788745,1
75000000,129.0,5.9,893,31.054334,1
85000000,113.0,6.8,577,21.891078,0
88000000,118.0,5.6,818,40.138009,1
70000000,106.0,6.1,1509,44.090535,1
80000000,89.0,5.9,1195,36.664991,1
80000000,145.0,6.9,189,18.26121,0
80000000,115.0,5.8,378,16.681269,1
80000000,87.0,5.2,133,10.088006,1
44000000,118.0,3.0,255,7.89147,0
80000000,90.0,5.6,297,16.715631,0
80000000,112.0,5.1,165,9.357734,0
80000000,116.0,5.4,318,11.22268,0
80000000,177.0,6.1,299,14.564667,0
90000000,92.0,5.2,305,11.356079,0
90000000,106.0,5.7,1316,52.612025,1
80000000,106.0,5.4,267,13.800656,0
86000000,94.0,6.0,639,27.097932,1
80000000,110.0,4.8,111,7.342892,0
130000000,105.0,5.2,1267,50.561849,0
60000000,135.0,7.7,3009,59.248437,1
45000000,89.0,8.0,5376,90.457886,1
79000000,94.0,5.8,1030,40.723459,1
78000000,95.0,6.4,915,41.247402,1
78000000,124.0,6.7,1115,10.083905,1
100000000,136.0,6.5,318,16.759252,1
79000000,91.0,4.1,604,22.132418,1
76000000,107.0,6.2,2028,10.520961,1
64000000,92.0,7.6,756,35.384423,1
80000000,99.0,5.7,359,15.673154,0
76000000,88.0,3.9,87,8.981427,0
75000000,87.0,5.9,3462,31.482872,1
78000000,110.0,5.7,1155,47.436675,1
76000000,98.0,7.0,4637,136.886704,1
75000000,145.0,6.7,3260,60.442593,1
73000000,129.0,6.2,2487,2.502487,1
75000000,86.0,6.6,3237,48.110909,1
76000000,109.0,7.4,2071,35.387874,0
75000000,104.0,6.8,4097,4.66891,1
75000000,110.0,6.4,2528,73.82289,1
75000000,136.0,6.9,1456,51.469576,1
80000000,91.0,6.5,2951,85.115058,1
75000000,99.0,6.6,2105,61.437586,1
50000000,117.0,6.5,709,31.160542,1
80000000,114.0,4.7,183,15.761384,0
75000000,115.0,7.3,5487,71.124686,1
80000000,102.0,6.0,1705,38.864027,1
60000000,128.0,7.0,1910,57.753914,1
35000000,100.0,5.7,202,13.25753,1
75000000,124.0,5.9,283,13.318744,1
75000000,102.0,6.5,338,18.70031,1
